시도,시군구,SIG_CD
서울시,종로구,11110
서울시,중구,11140
서울시,용산구,11170
서울시,성동구,11200
서울시,광진구,11215
서울시,동대문구,11230
서울시,중랑구,11260
서울시,성북구,11290
서울시,강북구,11305
서울시,도봉구,11320
서울시,노원구,11350
서울시,은평구,11380
서울시,서대문구,11410
서울시,마포구,11440
서울시,양천구,11470
서울시,강서구,11500
서울시,구로구,11530
서울시,금천구,11545
서울시,영등포구,11560
서울시,동작구,11590
서울시,관악구,11620
서울시,서초구,11650
서울시,강남구,11680
서울시,송파구,11710
부산시,강동구,11740
부산시,중구,26110
부산시,서구,26140
부산시,동구,26170
부산시,영도구,26200
부산시,부산진구,26230
부산시,동래구,26260
부산시,남구,26290
부산시,북구,26320
부산시,해운대구,26350
부산시,사하구,26380
부산시,금정구,26410
부산시,강서구,26440
부산시,연제구,26470
부산시,수영구,26500
부산시,사상구,26530
대구시,기장군,26710
대구시,중구,27110
대구시,동구,27140
대구시,서구,27170
대구시,남구,27200
대구시,북구,27230
대구시,수성구,27290
대구시,달서구,27290
인천시,달성군,27710
인천시,중구,28110
인천시,동구,28140
인천시,남구,28170
인천시,연수구,28185
인천시,남동구,28200
인천시,부평구,28237
인천시,계양구,28245
인천시,서구,28260
인천시,강화군,28710
광주시,옹진군,28720
광주시,동구,29110
광주시,서구,29140
광주시,남구,29155
광주시,북구,29170
대전시,광산구,29200
대전시,동구,30110
대전시,중구,30140
대전시,서구,30170
대전시,유성구,30200
울산시,대덕구,30230
울산시,중구,31110
울산시,남구,31140
울산시,동구,31170
울산시,북구,31200
경기도,울주군,31710
경기도,수원시,41110
경기도,수원시 장안구,41111
경기도,수원시 권선구,41113
경기도,수원시 팔달구,41115
경기도,수원시 영통구,41117
경기도,성남시,41130
경기도,성남시 수정구,41131
경기도,성남시 중원구,41133
경기도,성남시 분당구,41135
경기도,의정부시,41150
경기도,안양시,41170
경기도,안양시 만안구,41171
경기도,안양시 동안구,41173
경기도,부천시,41190
경기도,부천시 원미구,41195
경기도,부천시 소사구,41197
경기도,부천시 오정구,41199
경기도,광명시,41210
경기도,평택시,41220
경기도,동두천시,41250
경기도,안산시,41270
경기도,안산시 상록구,41271
경기도,안산시 단원구,41273
경기도,고양시,41280
경기도,고양시 덕양구,41281
경기도,고양시 일산동구,41285
경기도,고양시 일산서구,41287
경기도,과천시,41290
경기도,구리시,41310
경기도,남양주시,41360
경기도,오산시,41370
경기도,시흥시,41390
경기도,군포시,41410
경기도,의왕시,41430
경기도,하남시,41450
경기도,용인시,41460
경기도,용인시 처인구,41461
경기도,용인시 기흥구,41463
경기도,용인시 수지구,41465
경기도,파주시,41480
경기도,이천시,41500
경기도,안성시,41550
경기도,김포시,41570
경기도,화성시,41590
경기도,광주시,41610
경기도,양주시,41630
경기도,포천시,41650
경기도,여주군,41730
경기도,연천군,41800
경기도,가평군,41820
강원도,양평군,41830
강원도,춘천시,42110
강원도,원주시,42130
강원도,강릉시,42150
강원도,동해시,42170
강원도,태백시,42190
강원도,속초시,42210
강원도,삼척시,42230
강원도,홍천군,42720
강원도,횡성군,42730
강원도,영월군,42750
강원도,평창군,42760
강원도,정선군,42770
강원도,철원군,42780
강원도,화천군,42790
강원도,양구군,42800
강원도,인제군,42810
강원도,고성군,42820
충북도,양양군,42830
충북도,청주시,43110
충북도,청주시 상당구,43111
충북도,청주시 흥덕구,43113
충북도,충주시,43130
충북도,제천시,43150
충북도,청원군,43710
충북도,보은군,43720
충북도,옥천군,43730
충북도,영동군,43740
충북도,증평군,43745
충북도,진천군,43750
충북도,괴산군,43760
충북도,음성군,43770
충남도,단양군,43800
충남도,천안시,44130
충남도,천안시 동남구,44131
충남도,천안시 서북구,44133
충남도,공주시,44150
충남도,보령시,44180
충남도,아산시,44200
충남도,서산시,44210
충남도,논산시,44230
충남도,계룡시,44250
충남도,금산군,44710
충남도,연기군,44730
충남도,부여군,44760
충남도,서천군,44770
충남도,청양군,44790
충남도,홍성군,44800
충남도,예산군,44810
충남도,태안군,44825
전북도,당진군,44830
