순번,시도본부,119안전센터명,주소,전화번호,FAX,위도,경도
1,서울특별시,개포119안전센터,서울특별시 강남구 논현로 10길 19 (개포동),02-577-2540,02-529-1119,37.474698570,127.049894869
2,서울특별시,삼성119안전센터,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7556,02-539-9008,37.510278466,127.066833791
3,서울특별시,세곡119안전센터,서울특별시 강남구 밤고개로 268 (율현동),02-451-0882,02-451-0883,37.470403715,127.107231719
4,서울특별시,수서119안전센터,서울특별시 강남구 광평로31길 6 (수서동),02-445-9019,02-451-0019,37.484927407,127.092845325
5,서울특별시,역삼119안전센터,서울특별시 강남구 역삼로 236 (역삼동),02-557-0109,02-508-1193,37.497137885,127.042443761
6,서울특별시,영동119안전센터,서울특별시 강남구 도산대로 320 (논현동),02-517-5119,02-542-0119,37.522142749,127.036934356
7,서울특별시,강일119안전센터,서울특별시 강동구 고덕로98길 22 (강일동),02-6981-7790,02-429-0121,37.557340671,127.179684489
8,서울특별시,고덕119안전센터,서울특별시 강동구 양재대로156길 133 (고덕동),02-441-0119,02-426-0431,37.557142141,127.151872206
9,서울특별시,길동119안전센터,서울특별시 강동구 천중로 215 (길동),02-486-1727,02-487-6119,37.540997704,127.144447453
10,서울특별시,성내119안전센터,서울특별시 강동구 성내로 39 (성내동),02-6981-7750,02-6981-7717,37.529549282,127.124849423
11,서울특별시,암사119안전센터,서울특별시 강동구 올림픽로 815 (암사동),02-3426-2119,02-429-0427,37.553982848,127.128633465
12,서울특별시,천호119안전센터,서울특별시 강동구 진황도로 37 (천호동),02-476-0119,02-474-1721,37.538631246,127.131356396
13,서울특별시,미아119안전센터,서울특별시 강북구 도봉로 125 (미아동),02-983-9111,02-981-0119,37.620021979,127.028294603
14,서울특별시,번동119안전센터,서울특별시 강북구 한천로 911 (번동),02-6946-0250,02-6946-0229,37.633079172,127.038150105
15,서울특별시,삼각산119안전센터,서울특별시 강북구 솔샘로 208 (미아동),02-983-5119,02-984-5119,37.619868649,127.015507497
16,서울특별시,우이119안전센터,서울특별시 강북구 삼각산로 111 (수유동),02-904-0119,02-998-9116,37.640907925,127.016551685
17,서울특별시,개화119안전센터,서울특별시 강서구 개화동로19길 8 (개화동),02-6981-5185,02-2187-8248,37.574993732,126.803148485
18,서울특별시,등촌119안전센터,서울특별시 강서구 양천로 550 (등촌동),02-6981-5120,02-2187-8244,37.558246341,126.860047026
19,서울특별시,마곡119안전센터,서울특별시 강서구 마곡서로 9 (마곡동),02-6981-5190,02-2187-8249,37.555951408,126.820731027
20,서울특별시,발산119안전센터,서울특별시 강서구 강서로 329 (내발산동),02-6981-5175,02-2187-8246,37.555260680,126.836859837
21,서울특별시,방화119안전센터,서울특별시 강서구 금낭화로26길 10 (방화동),02-6981-5180,02-2187-8247,37.579796192,126.814284181
22,서울특별시,화곡119안전센터,서울특별시 강서구 까치산로 49 (화곡동),02-6981-5170,02-2187-8245,37.543662528,126.845219339
23,서울특별시,관악119안전센터,서울특별시 관악구 관악로 97 (봉천동),02-6981-8340,02-877-4119,37.473640671,126.952507911
24,서울특별시,난곡119안전센터,서울특별시 관악구 난곡로 243 (신림동),02-859-0119,02-839-3119,37.475678930,126.916081083
25,서울특별시,봉천119안전센터,서울특별시 관악구 은천로 54 (봉천동),02-886-0119,02-877-2143,37.485949097,126.941113859
26,서울특별시,신림119안전센터,서울특별시 관악구 봉천로 202 (신림동),02-874-0119,02-878-2069,37.489634319,126.923986706
27,서울특별시,구의119안전센터,서울특별시 광진구 광나루로 480 (구의동),02-6981-6768,02-454-0118,37.544742461,127.082810481
28,서울특별시,능동119안전센터,서울특별시 광진구 능동로 242 (능동),02-6981-6781,02-3436-8119,37.551691408,127.077020319
