시도,시군구,발생건수,위도,경도
경북,울진,6,36.991426580,129.404539057
강원,강릉,9,37.768356015,128.885092909
경북,안동,10,35.228977019,128.909343666
충남,홍성,2,36.099392206,128.361008056
강원,고성,4,38.254131200,128.559891145
충남,금산,7,35.219888279,128.151880319
경남,합천,4,35.575669523,128.164540464
강원,삼척,14,37.450847888,129.155508534
강원,양구,7,38.132479114,127.988170252
전남,함평,2,35.063982007,126.517971764
경남,밀양,1,35.504016885,128.734759426
울산,울주,10,35.483605385,129.303902089
경북,영덕,10,36.409825451,129.373565953
강원,인제,10,38.071397662,128.178146791
경북,영주,8,37.743784955,127.198667041
경북,군위,5,36.239040505,128.567378312
전남,순천,13,34.985511152,127.498375348
강원,영월,9,37.129143790,128.829157281
충남,서산,4,36.782451284,126.466215589
경북,봉화,9,36.910959528,128.739407943
경남,하동,3,35.808569714,126.892126963
경북,예천,10,36.773129572,126.446931304
충남,당진,4,36.883449833,126.643082752
경북,상주,6,36.409155405,128.150364105
강원,양양,7,38.078850878,128.621884376
충남,보령,3,36.339426448,126.599578194
대구,달성,5,37.493125874,127.123822492
충북,옥천,5,36.292312147,127.570977718
충북,영동,4,37.005661207,127.274266353
강원,화천,6,38.113094142,127.699109691
부산,기장,5,35.236143524,129.214574660
부산,해운대,1,35.162236026,129.168521464
경북,영천,10,35.966891869,128.943213305
충북,충주,1,36.988398082,127.829485850
경기,여주,6,37.313654451,127.638981710
경북,청송,4,35.129015311,128.972844609
경기,포천,14,37.889176306,127.204848282
강원,홍천,15,37.701909845,127.880749953
강원,춘천,12,37.852780553,127.735500519
충남,논산,1,36.191255977,127.090302490
경북,성주,8,35.197550407,128.714372836
충남,부여,5,36.274082174,126.877488088
전남,구례,2,35.211726960,127.468996025
경기,남양주,14,37.607307491,127.152810241
강원,정선,10,37.638513989,127.031836369
인천,강화,2,37.744850801,126.494672769
경북,구미,2,36.158983273,128.339408230
충북,제천,3,37.154564355,128.228331827
강원,평창,7,37.662306174,128.662550627
부산,금정,1,37.366732253,126.942754929
경남,함양,5,35.523599276,127.730321916
강원,철원,6,38.142762156,127.303353407
경북,문경,6,36.586140679,128.188666385
경북,의성,4,36.357363855,128.700056495
울산,북,4,35.204281753,128.573706910
충남,서천,1,36.085757781,126.684914041
전북,남원,3,35.423846297,127.408110807
경북,영양,6,36.666706556,129.112397136
경북,고령,7,35.269985276,128.793858589
충북,단양,6,36.980773931,128.366227800
대구,동,7,35.530468340,129.296140180
경남,창원 마산합포,3,35.217334819,128.586678796
전북,무주,6,36.009245947,127.664943179
경북,경주,15,35.856920098,129.220717241
충남,청양,2,37.487432769,126.789313141
경북,김천,3,36.136738377,128.113706121
경북,포항 남,3,35.982019987,129.445038302
경기,양주,2,37.656640807,127.143408121
경기,하남,2,37.534560093,127.229215154
경기,안산,1,37.311376289,126.822510826
인천,연수,1,37.416907954,126.676947253
경기,가평,15,37.677543201,127.484453210
경기,파주,6,37.761245748,126.774678854
서울,종로,1,37.573411520,127.022379505
경남,창녕,2,35.544600568,128.492193201
경남,산청,5,35.415024146,127.879262163
전북,완주,4,35.921009296,127.121242271
전남,곡성,1,35.284249724,127.289416720
전남,장성,3,37.099835078,129.006294181
경기,양평,8,37.496047184,127.492753918
경기,안성,4,37.017939244,127.262103716
인천,옹진,3,37.254522959,126.308336070
전남,광양,5,34.968736614,127.611634251
경남,함안,2,35.276887478,128.400282058
전북,임실,2,35.615767737,127.286057805
전북,고창,1,35.433912583,126.693922461
경북,경산,2,35.817581977,128.731690672
경기,과천,1,37.414809238,126.989678654
경남,김해,3,35.239353779,128.885799031
강원,동해,3,37.479489167,129.121621561
강원,태백,1,37.166240071,128.989592569
경기,평택,2,37.033911719,127.034322494
경기,수원 장안,2,37.314403116,126.983247524
충북,청주 상당,6,36.601128316,127.500967626
전남,화순,2,35.059106235,126.991019538
경남,의령,2,35.321199299,128.260438017
경기,시흥,2,37.320990974,126.690796587
경기,김포,2,37.616347032,126.703506417
강원,횡성,5,37.484411512,127.980459566
경기,연천,4,38.104917745,127.079195250
경남,양산,4,35.347724949,129.021695604
대구,달서,1,35.836368991,128.537413705
경기,광주,8,35.160759047,126.885526898
전남,영광,2,37.256650377,126.994402547
부산,영도,1,35.092148903,129.037704694
경기,화성,1,37.221758041,126.978704177
충남,천안,3,36.827056876,127.155958158
강원,원주,5,37.354373571,127.919767837
전남,해남,1,36.404663179,128.161329452
전남,고흥,3,34.605581011,127.279463815
충남,예산,1,36.682402861,126.849033330
충북,보은,2,35.157368304,128.984179804
충남,공주,3,35.580239759,129.319436260
부산,강서,2,37.551005911,126.870087043
전남,신안,1,37.352450452,126.745255640
전북,부안,1,35.722250530,126.734260840
경기,동두천,1,37.927362575,127.053401136
부산,사하,1,35.080967298,128.986317366
충북,괴산,1,36.803410281,127.793381004
경기,고양 덕양,2,37.626698353,126.870728191
충남,천안 동남,3,36.827056876,127.155958158
경남,진주,2,35.219810803,128.148225242
제주,제주,1,33.253664518,126.510034058
서울,강남,1,35.230936097,128.889194910
서울,노원,1,37.618208451,127.075907580
인천,중,2,37.255425879,128.452267787
전북,정읍,2,35.555137366,126.861749144
충남,태안,1,37.206101792,127.017680194
경남,창원 마산회원,1,35.222667175,128.572895626
대전,유성,1,37.749471798,127.042365937
경남,창원 의창,1,35.253559849,128.515260318
경기,구리,2,37.605948538,127.135549652
경남,남해,1,36.870474784,127.439988739
충남,아산,1,37.402058466,127.272864329
강원,속초,1,38.192195365,128.542211655
경기,용인,1,37.295558048,127.115888963
경북,칠곡,1,35.965765007,128.401217098
전남,완도,1,34.312462718,126.758025624
인천,서,2,36.606896899,127.483178500
경남,통영,1,34.879802086,128.418666774
전북,진안,2,35.794260992,127.438396648
경기,고양,2,37.626698353,126.870728191
전북,장수,2,37.464003962,126.750266531
경남,거창,1,35.687977441,127.903911240
인천,남동,2,37.215800944,127.204668003
경기,의왕,1,37.386840516,126.977868046
서울,은평,1,37.616970760,126.906390618
전북,전주 완산,1,35.782043461,127.129521941
경기,이천,1,37.288795157,127.459008120
